"id","epochreview","status","prodid","subject","rating","ratingquality","ratingvalue","review","reviewpros","reviewcons","nickname","email"
"DEMO-500-1344015686","1344015686","1","DEMO-500","Works as advertised...","5","5","5","Nice addition to my FX.  Right price and right features.  Highly recommend.","Lots good...","Nothing bad.","cheeco","chelseyramble@eskay.net"
"DEMO-510-1344015837","1344015837","1","DEMO-510","No wait for this delay!","4","4","4","Got this quickly and it just works.  For the price, it's great!","The effect is wide and beefy.","Wish it were a little more heavy duty.","Pantry","Joepantry@concquest.co.uk"
"DEMO-510-1344016005","1344016005","1","DEMO-510","The Candyman Can...","3","5","5","I buy effects pedals like other girls by shoes.  I'm going to try some other effects from these guys because this really seems like a good value.  I rather the overall experience lower because my order was late and calls to the vendor went unanswered.  A happy girl now.","Great sounding unit!","Answer your phones","Tina B.","tinabelyard@raffigans.com"
"DEMO-510-1344016099","1344016099","1","DEMO-510","No complaints","5","5","5","Happy with the unit.  Thanks.","","","Petro","andyy@petro.net"
"DEMO-530-1344016303","1344016303","1","DEMO-530","Not bad!","3","3","3","I thought I might be wasting my money when I bought this.  Seemed a little cheap to do the trick, but I didn't have the funds for a step up.  Turned out...this is a nice value and I've been using it for a few weeks now.  Seems to hold up on the road and still sounds good.  I'd buy more from these guys.","","","Hank","henryketchum@dolittle.org"
"DEMO-530-1344016447","1344016447","1","DEMO-530","Sorry, can't hear you, my ears are bleeding!","5","5","5","But that's a good thing.  I can't get enough distortion...But this helps.","","","Reed Smith","reed@bartolos.com"
"DEMO-540-1344016646","1344016646","1","DEMO-540","Now I get it!","5","5","5","Wasn't really sure how this would affect my overall sound.  But this is so nice when I switch settings...it really keeps the crosstalk to a minimum.  Well worth 100 bucks!  ","Cleans things up.","","nickel bark","franknickel@gmc.co.uk"
"DEMO-550-1344016757","1344016757","1","DEMO-550","A Lifesaver!","5","5","5","I replaced my old multi-effects unit with a newer, cheaper brand, and didn't discover until the warranty ran out that this unit didn't have a built-in tuner.  But this helped me ease into the new system...does a great job.","","","Lilly P.","liljoan@artcon.org"
"DEMO-550-1344016865","1344016865","1","DEMO-550","Bad investment","1","2","1","This unit didn't work with my setup.  It was hard to see under lights and not fine enough for my tastes.","None","Hard to read","deadline","Davemikens@campbell.co.uk"
"DEMO-610-1344017346","1344017346","1","DEMO-610","Not for me","1","3","1","Guess I should have read with more detail.  I thought that this unit would have onboard memory and I'd be able to store presets here, but this really is only the pedal board.  Probably my fault, but it's going back.","","","tantric menace","dave@bildon.com"
"DEMO-700-1344017154","1344017154","1","DEMO-700","Sweet deal.","5","5","5","This was a fun process.  I loved stepping through each phase of this to select a signature rig.  My record label gave me a gold card and told me to knock myself out.  I sure did.  Wish I could do this every day.  My order arrived in great shape and seemingly overnight...though I only paid for standard shipping.  A great experience. ","","","Dean Castro","dean@belwyn.com"
